gbifID,species,latitude,longitude
92585984,Dicranum polysetum,54.5,-122.66
92584686,Dicranum polysetum,45.56,-104.08
92584684,Dicranum polysetum,44.31,-103.96
92584682,Dicranum polysetum,43.95,-103.6
92584676,Dicranum polysetum,47.55,-102.73
92584669,Dicranum polysetum,55.91,-113.83
92584664,Dicranum polysetum,51.2,-80.65
92584656,Dicranum polysetum,51.38,-116.51
923914771,Plagiomnium cuspidatum,40.31546,-79.850615
923914685,Plagiomnium cuspidatum,40.318836,-79.855891
911505715,Dicranum montanum,40.428125,-80.021877
911505453,Hylocomium splendens,47.565737,-122.777613
910494085,Plagiomnium cuspidatum,40.31664,-79.843568
899978971,Plagiomnium cuspidatum,40.317046,-79.84213
899953380,Hylocomium splendens,46.972814,-121.829366
899948088,Hylocomium splendens,48.548172,-123.009174
891759487,Plagiomnium cuspidatum,40.43614,-79.897706
891718691,Hylocomium splendens,47.96648,-123.57851
891155330,Bryum argenteum,40.428,-79.965667
891116981,Polytrichum piliferum,38.173433,-120.358572
891097695,Sphagnum angustifolium,44.549897,-71.76542
891068984,Hylocomium splendens,44.057446,-73.177681
891039894,Bryum argenteum,37.89859,-122.23746
891032598,Hylocomium splendens,47.873557,-121.655506
891025341,Hylocomium splendens,44.275333,-72.140667
891019331,Hylocomium splendens,47.454,-122.110171
79073890,Syntrichia ruralis,67.098667,-159.014611
79073889,Syntrichia ruralis,67.098667,-159.014611
79073883,Syntrichia ruralis,67.134417,-159.037056
79073881,Syntrichia ruralis,67.134433,-159.037056
79073842,Syntrichia ruralis,67.105833,-159.022333
79073841,Syntrichia ruralis,67.105833,-159.022333
79073805,Syntrichia ruralis,63.6715,-149.580167
79073804,Syntrichia ruralis,63.6715,-149.580167
79073803,Syntrichia ruralis,63.6715,-149.580167
79060997,Pohlia wahlenbergii,67.13225,-159.040278
79059940,Pohlia wahlenbergii,65.856944,-164.714167
79059925,Plagiomnium cuspidatum,64.866917,-147.858222
79059921,Plagiomnium cuspidatum,64.866917,-147.858222
79059919,Plagiomnium cuspidatum,64.867417,-147.858306
79059913,Plagiomnium cuspidatum,64.866917,-147.858222
79059841,Plagiomnium cuspidatum,64.905194,-147.705778
79059808,Plagiomnium cuspidatum,67.125556,-159.044083
79059766,Pohlia wahlenbergii,65.404667,-164.654333
79055942,Hylocomium splendens,64.939167,-166.198333
79055938,Hylocomium splendens,64.866917,-147.858222
79055933,Hylocomium splendens,64.869389,-147.858306
79055932,Hylocomium splendens,64.866917,-147.858222
79055927,Hylocomium splendens,64.865917,-147.874889
79055925,Hylocomium splendens,64.865917,-147.874889
79055917,Hylocomium splendens,64.826389,-147.758556
79055915,Hylocomium splendens,64.863806,-147.737361
79055912,Hylocomium splendens,64.820583,-147.758306
79055911,Hylocomium splendens,64.921167,-147.716833
79055909,Hylocomium splendens,64.953139,-147.712917
79055907,Hylocomium splendens,64.817833,-147.342333
79055906,Hylocomium splendens,64.817833,-147.342333
79055903,Hylocomium splendens,64.76875,-147.337556
79055901,Hylocomium splendens,64.76875,-147.337556
79055881,Hylocomium splendens,67.122417,-159.053556
79055845,Hylocomium splendens,67.122861,-159.052667
