gbifID,species,latitude,longitude
965771,Platismatia glauca,46.81892,-116.730974
965769,Platismatia glauca,44.416667,-123.325
965761,Platismatia glauca,48.87721,-122.41482
965759,Platismatia glauca,48.583889,-123.138056
965756,Platismatia glauca,48.390648,-117.854897
965754,Platismatia glauca,47.620833,-122.347222
965751,Platismatia glauca,47.040716,-122.144709
965749,Platismatia glauca,45.796944,-121.639167
965746,Platismatia glauca,45.796944,-121.639167
965744,Platismatia glauca,44.8,-121.783333
965736,Platismatia glauca,37.414664,-122.371542
965733,Platismatia glauca,48.600556,-113.86
965408,Platismatia glauca,42.001389,-74.356944
965407,Platismatia glauca,44.564906,-68.370703
965406,Platismatia glauca,45.849237,-115.467376
965405,Platismatia glauca,43.657879,-74.502456
965404,Platismatia glauca,44.283333,-71.35
965403,Platismatia glauca,47.935833,-88.938056
965402,Platismatia glauca,40.094826,-105.398382
965400,Platismatia glauca,43.9325,-103.575278
965233,Platismatia glauca,56.721111,-134.365833
965231,Platismatia glauca,60.062222,-148.021667
965229,Platismatia glauca,50.283333,-122.616667
965228,Platismatia glauca,49.672778,-124.928333
965227,Platismatia glauca,47.493554,-121.832375
965226,Platismatia glauca,48.291667,-121.416667
965225,Platismatia glauca,45.85,-121.716667
965224,Platismatia glauca,49.248611,-123.108889
965223,Platismatia glauca,49.248611,-123.108889
965222,Platismatia glauca,60.205833,-147.800556
965210,Platismatia glauca,44.535278,-67.880833
965172,Platismatia glauca,60.062222,-148.021667
965046,Platismatia glauca,47.1,-67.25
965045,Platismatia glauca,47.916667,-59.033333
929355,Parmelia squarrosa,48.646944,-87.003333
929353,Parmelia squarrosa,47.883333,-90.516667
929349,Parmelia squarrosa,38.412059,-78.276961
923926814,Trametes versicolor,38.57414,-122.68478
923917810,Trametes versicolor,38.569659,-122.689175
923910774,Trametes versicolor,36.18043,-86.652922
923910188,Trametes versicolor,43.475233,-72.694146
923909186,Trametes versicolor,43.64651,-72.953167
923909059,Parmelia squarrosa,43.714542,-72.900124
923909008,Trametes versicolor,43.587852,-72.91214
921138659,Cladonia rangiferina,46.442589,-62.704639
919298151,Dibaeis baeomyces,44.2,-69.0833
919280735,Cladonia rangiferina,35.9067,-93.4383
919280299,Cladonia rangiferina,68.0833,-165.5333
919280263,Cladonia rangiferina,68.0833,-165.5333
919280257,Parmelia sulcata,68.05,-165.4333
919280234,Cladonia pyxidata,68.0833,-165.5333
919280230,Arctoparmelia centrifuga,68.6,-166.1333
919280203,Cladonia pyxidata,68.0833,-165.5333
919277960,Cladonia mitis,56.9667,-101.2667
919277857,Cladonia rangiferina,63.8833,-99.0833
919275743,Sphaerophorus globosus,48.0833,-123.5833
919275291,Parmelia sulcata,42.687,-101.1523
919275289,Cladonia fimbriata,42.6232,-102.1862
919275275,Peltigera rufescens,41.7068,-103.6667
919275267,Cladonia rangiferina,39.0592,-79.3007
919275102,Parmelia sulcata,39.9,-105.3333
919275025,Icmadophila ericetorum,39.6908,-105.8683
919271288,Parmelia sulcata,34.4417,-111.5
919271022,Physconia detersa,36.1067,-113.9
919270623,Cladonia mitis,48.5167,-64.0167
919270600,Parmelia sulcata,40.38,-105.47
919268603,Physconia detersa,35.7167,-105.4667
919268584,Parmelia sulcata,32.65,-109.8167
911503727,Trametes versicolor,47.656614,-122.291804
911496221,Icmadophila ericetorum,46.962623,-121.792201
911495247,Trametes versicolor,34.487778,-79.195655
911493633,Trametes versicolor,50.109174,-125.035021
911492860,Trametes versicolor,37.941769,-122.647987
911492589,Trametes versicolor,37.910814,-122.26813
911492398,Trametes versicolor,47.677612,-122.255395
910498054,Trametes versicolor,38.953773,-78.023265
910490757,Platismatia glauca,47.071357,-122.979219
899978956,Trametes versicolor,40.315963,-79.844686
899978107,Trametes versicolor,42.593792,-70.970283
899974080,Trametes versicolor,38.365837,-122.57957
899971387,Trametes versicolor,37.91053,-122.267883
899970870,Trametes versicolor,39.205724,-121.820249
899968949,Trametes versicolor,47.672462,-122.308037
899963209,Trametes versicolor,37.768165,-122.441258
899962727,Trametes versicolor,37.199214,-122.208996
899962023,Trametes versicolor,38.096211,-122.852988
899961341,Trametes versicolor,37.91,-122.267833
899960839,Trametes versicolor,37.907922,-122.263458
899960515,Trametes versicolor,42.771416,-72.51501
899959449,Trametes versicolor,37.399971,-122.271181
899957400,Trametes versicolor,37.89322,-122.572554
899957356,Trametes versicolor,37.89307,-122.573242
899956723,Parmelia sulcata,37.892243,-122.571373
899956299,Cladonia fimbriata,36.027735,-121.475535
899956104,Trametes versicolor,37.895919,-122.575316
899956078,Trametes versicolor,37.893871,-122.57332
899949524,Trametes versicolor,37.951621,-122.12652
899939359,Trametes versicolor,37.792979,-122.174428
899939190,Parmelia sulcata,37.841007,-122.191734
899939015,Parmelia sulcata,37.819294,-122.038975
899939000,Parmelia sulcata,37.753952,-122.139509
899936963,Trametes versicolor,34.253711,-118.773086
894511752,Parmelia sulcata,47.27152,-122.48103
894511561,Cladonia pyxidata,39.184,-107.163833
894511555,Cladonia pyxidata,42.470167,-104.971167
894511537,Cladonia pyxidata,39.184,-107.163833
894511525,Cladonia sulphurina,39.184,-107.163833
894511367,Peltigera rufescens,43.59527,-103.47887
894511326,Parmelia sulcata,43.59527,-103.47887
894511302,Parmelia sulcata,43.59527,-103.47887
894511052,Parmelia sulcata,47.985833,-98.975667
894510997,Parmelia sulcata,47.985833,-98.975667
894510959,Parmelia sulcata,41.797667,-100.2625
894510495,Parmelia sulcata,42.861667,-97.404333
894510051,Parmelia sulcata,45.456,-96.720333
891775788,Trametes versicolor,39.15566,-121.597283
891773601,Trametes versicolor,38.348565,-122.557071
891769500,Trametes versicolor,39.432845,-76.290264
891764445,Trametes versicolor,34.455359,-97.4142
891752323,Trametes versicolor,43.853964,-70.797873
891750930,Trametes versicolor,43.766879,-73.061657
891748539,Trametes versicolor,40.964709,-80.052957
891741920,Cladonia rangiferina,40.275769,-78.792014
891741869,Dibaeis baeomyces,44.975575,-71.10388
891741627,Trametes versicolor,40.275769,-78.792014
891741498,Trametes versicolor,40.275769,-78.792014
891741151,Trametes versicolor,41.964966,-80.475643
891736234,Trametes versicolor,41.632367,-80.044722
891731801,Trametes versicolor,37.373833,-122.2255
891721824,Trametes versicolor,38.58536,-122.69299
891721499,Trametes versicolor,38.58545,-122.69246
891161148,Parmelia sulcata,47.655706,-122.409772
891160120,Trametes versicolor,41.183272,-81.657193
891158380,Trametes versicolor,38.569549,-122.731361
891154842,Parmelia sulcata,47.655804,-122.292533
891141015,Trametes versicolor,47.656254,-122.407308
891140100,Trametes versicolor,47.655582,-122.408416
891136794,Trametes versicolor,37.902084,-121.949215
891129276,Trametes versicolor,37.107029,-122.277098
891125794,Trametes versicolor,37.865249,-122.241581
891125215,Trametes versicolor,38.578333,-122.6765
891125204,Trametes versicolor,38.583333,-122.689667
891125009,Trametes versicolor,37.859651,-121.949717
891124922,Trametes versicolor,37.917573,-122.543407
891122357,Trametes versicolor,35.984979,-79.057615
891121959,Trametes versicolor,40.653208,-80.079492
891121043,Trametes versicolor,37.871935,-122.241674
891117708,Parmelia squarrosa,43.132339,-72.525467
891110845,Trametes versicolor,44.009235,-71.503132
891110801,Trametes versicolor,36.259224,-77.879333
891110400,Trametes versicolor,37.466855,-122.285237
891109180,Trametes versicolor,39.129178,-120.963635
891105473,Trametes versicolor,41.193116,-81.581235
891102505,Trametes versicolor,41.129837,-81.430645
891102462,Trametes versicolor,41.129837,-81.430645
891102461,Trametes versicolor,41.129837,-81.430645
891099924,Trametes versicolor,41.25738,-81.623633
891096370,Trametes versicolor,43.393595,-80.336696
891096068,Trametes versicolor,41.325558,-81.414392
891094698,Trametes versicolor,41.262833,-81.567333
891094617,Trametes versicolor,41.25738,-81.623633
891092516,Trametes versicolor,40.314802,-123.97781
891090215,Trametes versicolor,34.140285,-118.167294
891087988,Trametes versicolor,34.184842,-118.095442
891087517,Trametes versicolor,36.042584,-78.996097
891084776,Parmelia sulcata,47.71136,-122.372002
891084088,Trametes versicolor,47.66175,-122.41975
891083345,Trametes versicolor,47.655692,-122.293139
891082896,Trametes versicolor,47.656167,-122.295
891082696,Platismatia glauca,47.51006,-122.08717
891081538,Trametes versicolor,47.65607,-122.29504
891081497,Parmelia sulcata,47.652387,-122.310469
891081115,Parmelia sulcata,47.651925,-122.309632
891080400,Parmelia sulcata,47.651783,-122.31263
891080048,Trametes versicolor,37.860909,-122.432568
891078533,Trametes versicolor,38.541215,-123.008541
891078329,Trametes versicolor,38.453931,-122.659639
891078300,Trametes versicolor,38.454786,-122.664239
891078286,Trametes versicolor,38.45526,-122.663856
891078269,Trametes versicolor,43.988431,-72.983664
891078044,Trametes versicolor,47.681223,-122.24777
891077718,Trametes versicolor,48.03645,-122.5098
891077416,Trametes versicolor,38.438517,-122.684294
891077252,Icmadophila ericetorum,46.751495,-121.814891
891076750,Trametes versicolor,38.438171,-122.680115
891075861,Trametes versicolor,47.658329,-122.288956
891075790,Trametes versicolor,47.656071,-122.295044
891075641,Trametes versicolor,41.527816,-70.65532
891073226,Trametes versicolor,38.612928,-122.783618
891073012,Trametes versicolor,38.580704,-122.709785
891072568,Trametes versicolor,44.271458,-73.255814
891072001,Trametes versicolor,34.218332,-118.17564
891069909,Trametes versicolor,38.584056,-122.689472
891068506,Trametes versicolor,37.818294,-122.144666
891066716,Trametes versicolor,38.682796,-122.649775
891066552,Trametes versicolor,39.40905,-123.812109
891065461,Trametes versicolor,41.068934,-80.086555
891055874,Trametes versicolor,38.517583,-122.856266
891053710,Trametes versicolor,38.574876,-122.706801
891050666,Trametes versicolor,37.797311,-122.259372
891026285,Trametes versicolor,38.58273,-122.69666
891022496,Trametes versicolor,44.363333,-72.466389
891022200,Trametes versicolor,38.441859,-122.511163
866384909,Parmelia sulcata,48.984667,-100.330333
866384767,Parmelia sulcata,48.774667,-97.739333
866384663,Parmelia sulcata,47.944167,-97.483167
866384592,Peltigera didactyla,47.943833,-97.501833
866384355,Parmelia sulcata,44.453167,-96.9875
866384239,Parmelia sulcata,42.892,-100.3095
866383809,Sphaerophorus globosus,44.6875,-122.008333
866383768,Physconia detersa,48.094167,-88.568889
866383766,Icmadophila ericetorum,48.075833,-88.595833
866383764,Icmadophila ericetorum,45.204444,-66.630278
866383728,Cladonia stygia,65.3746,-146.029517
866383720,Cladonia stygia,59.614117,-135.1679
866383687,Cladonia rangiferina,60.803611,-137.434167
866383679,Cladonia fimbriata,45.233611,-81.478056
866383655,Parmelia sulcata,60.0818,-130.763583
866383645,Arctoparmelia centrifuga,59.614117,-135.1679
866383331,Cladonia pyxidata,34.6998,-98.67162
866383283,Cladonia fimbriata,37.835,-107.6777
866383130,Cladonia fimbriata,42.74216,-78.65808
866383095,Cladonia fimbriata,42.25135,-78.88335
866383071,Cladonia fimbriata,42.74216,-78.65808
866383040,Parmelia sulcata,42.25135,-78.88335
79071868,Sphaerophorus globosus,60.257,-149.356833
79059152,Platismatia glauca,50.0333,-123.0833
79057871,Peltigera didactyla,67.106056,-159.021361
79057849,Parmelia sulcata,67.123861,-159.046917
